section id,recording id,recording name,wearer id,wearer name,section start time [ns],section end time [ns],start event name,end event name
8c2fc8e6-bb4d-4eb2-9163-cf271b87b236,140c6482-6fa5-4e7d-b251-bf70e5827ca7,2025-08-09_06:55:05,728d79e8-2785-4cdd-8c64-2ac845121c01,TB,1754690230082000000,1754690237304614000,T1encodeBegin,T1encodeEnd
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,2025-08-10_02:51:33,728d79e8-2785-4cdd-8c64-2ac845121c01,TB,1754762016437960000,1754762022722635000,T1encodeBegin,T1encodeEnd
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,2025-08-12_06:13:13,728d79e8-2785-4cdd-8c64-2ac845121c01,TB,1754946908768714000,1754946914852926000,T1encodeBegin,T1encodeEnd
