section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation detected on surface,fixation x [normalized],fixation y [normalized]
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,229,1754762018641789618,1754762018711789618,70,false,0.707868,1.086463
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,230,1754762018982050618,1754762019062164618,80,false,0.664684,1.12674
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,231,1754762019437538618,1754762019517539618,80,false,0.756302,1.067384
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,232,1754762020994037618,1754762021084051618,90,false,0.669124,1.07127
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,233,1754762021134162618,1754762021569537618,435,false,0.717705,1.051222
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,242,1754946908765214176,1754946908785211176,19,true,0.335413,0.672642
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,243,1754946908810211176,1754946911863084176,3052,true,0.31889,0.689518
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,244,1754946911938214176,1754946913930084176,1991,true,0.668878,0.69939
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,245,1754946914040209176,1754946914460583176,420,true,0.655136,0.737575
e9be6b32-7071-4a3f-8ea8-5e639d54b55f,9a03ee47-6e8b-47f7-b7c5-dd977d9b50ca,246,1754946914485583176,1754946914855963176,370,true,0.637448,0.663489
